hours	t	dilution 1	dilution 2	white	black	halfBlack	quarterBlack	EighthBlack	ThrQuatBlack	EighthWhite	TinyBlakc	TinyWhite
0	0	30	3600	263.6666667	0.333333333	0	0	0	0	0	0	0
21	21	30	3600	285.6666667	1.333333333	0	0	0	0	0	0	0
45	45	30	3600	237	1	0.333333333	0	0	0	0	0	0
69	69	30	3600	256	0.333333333	0.333333333	0.333333333	0	0	0	0	0
92	92	30	3600	253.3333333	1.666666667	1.666666667	0.666666667	0	0	0	0	0
120	120	30	3600	71	1.666666667	2	0.333333333	0	0	0	0	0.333333333
142	142	30	3600	42.33333333	2	0.666666667	0	0.333333333	0	0	0	0
165	165	30	400	19.66666667	2.666666667	0	0.333333333	0	0	0	0	0
189.5	189.5	30	200	36.66666667	10.66666667	0.666666667	0	0	0.333333333	0	0	0
261	261	30	100	69.66666667	11.66666667	0.666666667	0	0	1	0	0	0
310	310	30	100	48	17	1.666666667	2	1	1.333333333	0.666666667	0.666666667	0
357.5	357.5	30	100	49.33333333	16.66666667	3	1.666666667	0.333333333	0.666666667	0.333333333	0	0
