M13	0	100	700	1	1066	2	1	0	0	0	0	0	0
M13	0	100	700	2	1117	0	0	1	0	0	0	1	0
M13	0	100	700	3	1027	2	0	0	0	0	0	3	0
M13	24	100	700	1	1065	5	0	0	0	1	0	1	0
M13	48	100	600	1	1350	0	1	0	2	0	0	0	0
M13	72	100	600	1	1231	3						1	
M13	94	100	600	1	880	5	1	0	2				
M13	117	100	600	1	1292	3				1		1	
M13	144	100	600	1	2223	6				1			1
M13	165	100	500	1	1030	2	0	1	0	1	0	1	
M13	189	100	500	1	656	3	2	2		1	0	0	0
M13	215	100	300	1	141	0	0	1	0	0	0	1	0
M13	240	100	200	1	76								
M13	286	100	5	1	195	15	0	2	1	0	1		
M13	334	10	5	1	341	52	4	1	0	0	2	0	1
M13	382	1	5	1	865	101	2	2					2
M13	382	20	1	1	235	56							
M13	430	1	5	1	737	102	2						2
M13	628	5	1	1	6000								
