strain	Tc	wc	Tmmax	Tg	wg	Tbmax	Td	wd	Tdmax	b.min	b.max	b0	half.0.raw
101S	4.39742739335266	12.6391900288253	5.35	5.362919224289	7.43235770831956	5.2	4.875	10	9.6675540529355	0.571428571428571	0.00126742712294043	0.00340425531914894	0.000283687943262411
M1-2	6.53040570721706	17.3113091164123	7.65	6.875	10	6.75	6.875	10	8.47206442898665	0.0203966005665722	0.00149476831091181	0.00256045519203414	0.000284495021337127
M13	7.69027356519575	17.5247840520313	9.05	12.0132323246944	16.0223902763595	12.05	7.875	10	14.0921354564444	0.152296157450797	0.00124223602484472	0.00124223602484472	0.00031055900621118
M14	3.23082273615649	3.51863508362123	4.2	7.13945363822953	38.0392986335833	7.15	3.91666666666667	20	11.3180895736887	0.139291932675566	0.00650887573964497	0.00650887573964497	0
M2-8	3.19822914234448	9.75343130671247	4	3.91666666666667	10	3.85	3.91666666666667	10	7.40360545284752	0.0156862745098039	0.000841750841750842	0.00285388127853881	0.000570776255707763
M32	8.7976441323885	5.96055892746797	11.5	8.95833333333333	20	8.9	8.95833333333333	20	8.0429899740411	0.0206948927283083	0.00960698689956332	0.0119465917076599	0.000878425860857344
M5	6.30655684671953	19.2851271111297	7.35	8.68192849491655	9.75607261822984	8.75	6.875	10	7.1885030599375	0.298989898989899	0.000598444045481747	0.00225073148773351	0.000900292595093405
M8	5.05496168068265	10.9550007928122	6.25	16.0873450478019	21.1309595889754	16.2	14.9587534216624	18.0500285487607	21.8023675977695	0.30089628681178	0.00383877159309021	0.00547008547008547	0.00136752136752137
YPS128	6.85913183075306	5.752774550546	9	12.0097111848424	7.79268100059828	12.05	9.37749504925564	4.24558694722463	14.197413528973	0.4	0.0224986281324309	0.0224986281324309	0.00201207243460765
YPS163	5.66608459898303	4.92952209092457	7.5	10.4131102600448	10	10.4	5.3925276036526	2.51922384477315	7.86525699468314	0.2	0.0137741046831956	0.0150679897096656	0.00110253583241455
