Strain	Tc	wc	Tg	wg	b.min	b.max	b0	half.0.raw
101S	4.39821253432751	12.6225232621093	4.875	10	0.00146305779078274	0.02	0.00340425531914894	0.000283687943262411
M1-2	6.53130131368625	17.2579215855248	6.875	10	0.00149365197908887	0.0203735144312394	0.00256045519203414	0.000284495021337127
M13	7.6902484099369	17.5188554124654	11.8421805835339	10.7338669980444	0.00124223602484472	0.152153558052434	0.00124223602484472	0.00031055900621118
M14	3.23356886711082	3.52611270751285	7.9038051040821	23.9451161149562	0.00650887573964497	0.136208853575482	0.00650887573964497	0
M2-8	3.19728992337556	9.76013686198194	3.91666666666667	10	0.000841750841750842	0.0155339805825243	0.00285388127853881	0.000570776255707763
M32	8.79997436896777	5.9861207613268	8.95833333333333	20	0.00959860383944154	0.0206948927283083	0.0119465917076599	0.000878425860857344
M5	6.30892090563504	19.3149955407120	9.1283104440374	7.52669021200144	0.000598444045481747	0.296593186372746	0.00225073148773351	0.000900292595093405
M8	5.05910938976326	10.9821331062662	16.5698647852235	14.7087447732687	0.00383141762452107	0.29375	0.00547008547008547	0.00136752136752137
YPS128	6.88567411017577	5.85314671826423	13.7945833119029	5.51894781360713	0.0224986281324309	0.4	0.0224986281324309	0.00201207243460765
YPS163	5.68160014740738	4.96044137686693	10.3245444064446	10	0.0136892539356605	0.2	0.0150652213852655	0.00110233327209260
