strain	Tc	wc	Tmmax	Tg	wg	Tbmax	Td	wd	Tdmax	b.max	b.min	b0	half.0.raw	TLmax
101S	4.29120146145147	14.2138459465790	5.15	6.72342533630665	27.9584690683424	6.7	4.34578531238599	12	5.78717264997655	0.0465116279069767	0.00244596351652313	0.00312825860271116	0	3.78333333333333
M1-2	6.46449311051961	19.2826772022641	7.5	7.83333333333333	17	7.8	7.83333333333333	17	10.0050987709810	0.0728155339805825	0.00148765182706123	0.00154978690430066	0	3.78333333333333
M13	8.0656380360671	17	9.5	11.1805015887858	17	11.2	10.8958333333333	17	12.8020833333333	0.12	0.00218292775858565	0.00223214285714286	0	7.83333333333333
M14	3.36014133337646	5	4.45	7.49059060195966	8.78782190328167	7.4	7.59949621825169	8.82648689263356	10.6446890577435	0.128712871287129	0.00503200503200503	0.00721500721500722	0.000824572253143682	5.8125
M2-8-1	4.74452235656287	10	5.9	4.6968938677494	15.6851657325141	4.7	7.64297865472523	101.911910686078	8.3816977831086	0.0625	0.00384002379495928	0.00773480662983425	0	7.83333333333333
M2-8-2	4.26266256773228	15.8711171942549	5.05	4.48549025900603	10	4.5	NA	NA	7.83333333333333	0.2	0.00502643739447258	0.00516528925619835	0.000516528925619835	7.83333333333333
M32	7.51457226533666	35.1264856560025	8.3	5.45494304519296	16.9000736958586	5.45	7.83333333333333	6	9.5586724842929	0.0407766990291262	0.0125481599527478	0.0142491779320424	0.00182681768359518	10.8958333333333
M34	8.2018641131267	11.3898495586149	10.05	9.95392953597724	12.4239408299254	10.1	7.73369791930807	5.3290669429631	9.63447806998572	0.238670694864048	0.00479871375393763	0.00459242250287026	0.000574052812858783	9.04166666666667
M5	5.43694937076739	7.84664939280812	6.95	6.0867835280235	6.65701804974557	5.9	5.8125	20	9.36203316212366	0.0708079930495221	0.00186649755855700	0.00227100681302044	0.00151400454201363	5.8125
M8	9.57244780050403	12.6275147785404	11.65	-7.67234087678485	10	7.55	10.8958333333333	10	10.9657697494213	0.0125250501002004	0.00570884854420671	0.00904522613065327	0.00033500837520938	9.04166666666667
YPS128	12.2930863434473	16.8972830567293	14.5	17.875	5	16.6	17.875	5	14.7476899717493	0.0571428571428571	0.0212261692290881	0.0226969292389853	0.00133511348464619	17.875
YPS163	5.73810690620447	5.51988220416245	7.55	9.29630823160648	9.09617817705909	9.2	10.8958333333333	5	10.8172518859343	0.099719887955182	0.00791762644993089	0.0064065230052417	0.00029120559114735	3.78333333333333
