expt	Tc	wc	Tg	wg	b.min	b.max	b0	half.0.raw
101S.030906.tab	5.04922681514222	17.3399977373677	128.265487226378	0.258426182392079	0.00186828584773470	0.0588235294117647	0.00286726260752235	0.000168662506324844
BY4743.032906.tab	15.0689397508392	2.34252193391492	16.3270167098441	2.4139433504539	0.00469128329297821	0.0403286034353996	0.00580028217588964	0.00109735068192507
M1-2.030906.txt	5.83430637603969	19.1792961503486	6.08333333333333	10	0.00143563566757059	0.0314650934119961	0.00180475799835931	0
M13.lohcls.013106.tab	8.26555455020707	16.3565557313233	10.5595878359096	23.2906366665514	0.00104616189355303	0.140756302521008	0.00191597098672506	0.000136855070480361
M14.lohcls.013106.tab	5.29498270333695	23.0958578541039	6.5	10	0.00451085424302227	0.222222222222222	0.00854244527495996	0.00133475707421249
M28.022006.txt	4.2896920761128	8.46747168685595	4.91666666666667	20	0.00254366627098525	0.0218579234972678	0.00257289879931389	0.00100057175528874
M32.022006.txt	7.58296438222938	10.6209824227750	7.83333333333333	10	0.00988060930424043	0.0284810126582279	0.0121841155234657	0.00225631768953069
M34.041806.tab	6.6098437726024	15.9702996715027	8.1674549231528	22.1659967111956	0.0070568700705687	0.354241877256318	0.0070568700705687	0.00186799501867995
M34.100506.37C.tab	3.1531313628233	4.8398236408459	11.6376618546111	0.45355193196256	0.00722059439095856	0.0633693972179289	0.00886834873844617	0.00174868848363727
M5.032906.tab	6.00841234997851	24.8861188182758	9.07370486192871	6.16011326904263	0.00163296068333124	0.356487549148100	0.00163296068333124	0.000125612360256249
M8.030906.txt	5.7282474010923	16.6440634854562	7.46361695397453	11.3616867910027	0.00412774277645014	0.185265438786566	0.00577915376676987	0
sgu57.022006.txt	3.6366681572143	7.43640687066019	11.0933112428306	0.911803429057679	0.0575539568345324	0.371794871794872	0.0575539568345324	0.0359712230215827
YPS128.013106.tab	6.74477705451474	6.57918083685196	9.5426317815652	10.616383879347	0.00175404404599493	0.155601659751037	0.00175404404599493	0.000779575131553303
YPS128.121205.37C.tab	2.97680562949670	21.0812492948438	4.18030154388324	29.4101937450601	0.00205151584226123	0.428571428571429	0.00345383375546857	0.000460511167395809
YPS163.030906.txt	4.33473431188034	8.10012625719278	5.22377857808817	21.0232068198267	0.00295285612463089	0.186234817813765	0.00295285612463089	0.000509113124936361
