t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	30	3600		256	0	0	0	0				0
0	30	3600		284	1	0	0	0				0
0	30	3600		251	0	0	0	0				0
21	30	3600		309	1	0	0	0				0
21	30	3600		275	2	0	0	0				0
21	30	3600		273	1	0	0	0				0
45	30	3600		242	3	1	0	0				0
45	30	3600		256	0	0	0	0				0
45	30	3600		213	0	0	0	0				0
69	30	3600		268	0	0	0	0				0
69	30	3600		263	0	1	1	0				0
69	30	3600		237	1	0	0	0				0
92	30	3600		271	4	2	1	0				0
92	30	3600		238	1	1	1	0				0
92	30	3600		251	0	2	0	0				0
120	30	3600		75	2	0	1	0				0
120	30	3600		62	3	3	0	0				0
120	30	3600		76	0	3	0	0				0
142	30	3600		36	0	0	0	0				0
142	30	3600		51	1	2	0	1				0
142	30	3600		40	5	0	0	0				0
165	30	400		23	1	0	0	0				0
165	30	400		22	4	0	1	0				0
165	30	400		14	3	0	0	0				0
189.5	30	200		35	11	2	0	0				0
189.5	30	200		33	11	0	0	0				0
189.5	30	200		42	10	0	0	0				1
261	30	100		69	17	0	0	0				1
261	30	100		70	7	2	0	0				1
261	30	100		70	11	0	0	0				1
310	30	100		45	19	0	2	1				1
310	30	100		45	19	1	3	1				1
310	30	100		54	13	4	1	1				2
357.5	30	100		40	25	3	1	0				0
357.5	30	100		53	14	1	3	1				1
357.5	30	100		55	11	5	1	0				1
