strains	L0.all	L0.small	subtot.0.5	subtot.black	Pb	Pb0.5	Pb.2	Pb.sd	Pb0.5.2	Pb0.5.sd	L0.sd
101S	0.159574468085106	0.0952380952380952	15	94	0.00280093364454818	0.000266755585195065	0.0027775479153435	0.00107205448296425	0.000330837423661628	0.000555158600132709	0.201528972837824
BY4743	0.189189189189189	0.189189189189189	7	37	0.0058433354390398	0.00110549589387239	0.00589401930647759	0.00197759354961988	0.00110920683584403	0.000542042011223118	0.112714252831993
M1-2	0.0616438356164384	0.0357142857142857	4.5	73	0.00183932207843395	6.56900742297839e-05	0.00189366170127944	0.00151186564721052	8.79507475813544e-05	0.000278124684271625	0.154033669012556
M13	0.0934579439252336	0.125	10	107	0.00197696831908269	0.000247121039885336	0.00214844819302248	0.00172519374719106	0.000227876726362929	0.000321664992193142	0.195887516893159
M14	0.112244897959184	0.109756097560976	16.5	147	0.00699718406007338	0.000767983616349518	0.00660394331167362	0.0032728036830954	0.000571076480716002	0.000665652109632329	0.108099090369532
M2-8	0.148594377510040	0.163636363636364	37	249	0.00366568914956012	0.000599840042655292	0.0039069287754769	0.00248765627529925	0.00045690840958344	0.000646897657258421	0.208506199307858
M32	0.109625668449198	0.134408602150538	41	374	0.0123546994354035	0.00166057788110262	0.0125238635998550	0.00208866216533097	0.00177436651895774	0.00105992361156368	0.0887493457378959
M34	0.171348314606742	0.161764705882353	61	356	0.00727065364601896	0.00117613514862071	0.00688487279186165	0.00540776692488035	0.0009318709419341	0.00108128840804586	0.191294991188706
M5	0.171875	0.179487179487179	11	64	0.00200534759358289	0.000359934183463595	0.00206423585916263	0.000698519024787067	0.000559933780899503	0.000710431818465622	0.359743093651661
M8	0.0581039755351682	0.074712643678161	19	327	0.00637152587059211	0.000476033542055733	0.00633754294741166	0.00228103708666162	0.000584939202553303	0.000718870041688958	0.115952585418376
YPS128	0.183531746031746	0.0916666666666667	92.5	504	0.0108671043694815	0.000996151233869142	0.0110636657708879	0.0103420279262687	0.00101531937511938	0.00100777518371732	0.127320101979024
YPS163	0.252688172043011	0.0903225806451613	117.5	465	0.00712283442856486	0.000643352787096181	0.00824008601606724	0.00542715062107386	0.000684650010062944	0.000556254658737314	0.104091155684948
